Wavelength nm.	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...
422.00	0.012939	0.013214	0.053635	0.066681	0.108185
423.00	0.012650	0.012924	0.053406	0.066269	0.107834
424.00	0.012527	0.012772	0.053345	0.066116	0.107712
425.00	0.012421	0.012695	0.053329	0.065887	0.107513
426.00	0.012329	0.012558	0.053207	0.065720	0.107300
427.00	0.012222	0.012497	0.053040	0.065521	0.107101
428.00	0.012238	0.012512	0.053040	0.065475	0.107040
429.00	0.012192	0.012421	0.053009	0.065292	0.106750
430.00	0.012177	0.012360	0.052780	0.065186	0.106506
431.00	0.012146	0.012436	0.052673	0.065140	0.106400
432.00	0.012268	0.012466	0.052643	0.065155	0.106186
433.00	0.012283	0.012451	0.052521	0.065079	0.105972
434.00	0.012421	0.012558	0.052429	0.065109	0.105835
435.00	0.012573	0.012787	0.052475	0.065186	0.105774
436.00	0.012756	0.012909	0.052444	0.065262	0.105560
437.00	0.012939	0.013062	0.052383	0.065384	0.105438
438.00	0.013199	0.013290	0.052399	0.065536	0.105362
439.00	0.013321	0.013397	0.052155	0.065536	0.105118
440.00	0.013611	0.013702	0.052078	0.065735	0.104950
441.00	0.013855	0.013931	0.052048	0.065933	0.104843
442.00	0.014114	0.014191	0.051971	0.066116	0.104691
443.00	0.014420	0.014481	0.051880	0.066299	0.104492
444.00	0.014694	0.014709	0.051743	0.066483	0.104294
445.00	0.014999	0.015045	0.051636	0.066803	0.104111
446.00	0.015594	0.015625	0.051804	0.067291	0.104141
447.00	0.015869	0.015793	0.051575	0.067444	0.103851
448.00	0.016342	0.016190	0.051514	0.067825	0.103699
449.00	0.016937	0.016815	0.051590	0.068298	0.103683
450.00	0.017380	0.017303	0.051514	0.068634	0.103516
451.00	0.017792	0.017609	0.051331	0.068970	0.103302
452.00	0.018326	0.018082	0.051254	0.069397	0.103180
453.00	0.018921	0.018646	0.051208	0.069839	0.103027
454.00	0.019547	0.019196	0.051178	0.070374	0.102982
455.00	0.020081	0.019669	0.051117	0.070831	0.102753
456.00	0.020676	0.020264	0.050995	0.071335	0.102585
457.00	0.021317	0.020889	0.050980	0.071899	0.102463
458.00	0.022034	0.021576	0.050964	0.072525	0.102432
459.00	0.022720	0.022278	0.050980	0.073120	0.102310
460.00	0.023438	0.022888	0.050827	0.073761	0.102127
461.00	0.024261	0.023636	0.050873	0.074402	0.102081
462.00	0.025055	0.024353	0.050720	0.075027	0.101974
463.00	0.025787	0.025024	0.050613	0.075714	0.101761
464.00	0.026733	0.025894	0.050644	0.076523	0.101700
465.00	0.027557	0.026672	0.050507	0.077255	0.101563
466.00	0.028534	0.027573	0.050507	0.078110	0.101501
467.00	0.029480	0.028458	0.050507	0.078964	0.101379
468.00	0.030533	0.029434	0.050446	0.079773	0.101257
469.00	0.031448	0.030304	0.050278	0.080612	0.101074
470.00	0.032562	0.031342	0.050323	0.081680	0.100952
471.00	0.033630	0.032333	0.050262	0.082642	0.100845
472.00	0.034851	0.033401	0.050217	0.083710	0.100800
473.00	0.035980	0.034500	0.050201	0.084702	0.100693
474.00	0.037094	0.035614	0.050156	0.085754	0.100601
475.00	0.038422	0.036789	0.050018	0.086868	0.100449
476.00	0.039734	0.038040	0.050049	0.088058	0.100388
477.00	0.041077	0.039276	0.050018	0.089279	0.100250
478.00	0.042435	0.040482	0.049896	0.090485	0.100159
479.00	0.043900	0.041794	0.049957	0.091782	0.100067
480.00	0.045334	0.043137	0.049881	0.093079	0.099915
481.00	0.046692	0.044418	0.049774	0.094284	0.099823
482.00	0.048279	0.045914	0.049805	0.095688	0.099762
483.00	0.049866	0.047348	0.049759	0.097168	0.099655
484.00	0.051407	0.048767	0.049698	0.098587	0.099533
485.00	0.052902	0.050293	0.049545	0.099945	0.099350
486.00	0.054535	0.051743	0.049423	0.101440	0.099167
487.00	0.056274	0.053421	0.049347	0.102997	0.099091
488.00	0.058090	0.055038	0.049316	0.104599	0.098984
489.00	0.060074	0.056824	0.049347	0.106384	0.098999
490.00	0.061981	0.058640	0.049286	0.108170	0.098953
491.00	0.063904	0.060379	0.049271	0.109848	0.098831
492.00	0.065842	0.062119	0.049255	0.111618	0.098724
493.00	0.067886	0.064102	0.049149	0.113495	0.098572
494.00	0.069885	0.065979	0.049133	0.115341	0.098465
495.00	0.072037	0.067993	0.048981	0.117340	0.098343
496.00	0.074295	0.070084	0.048996	0.119400	0.098373
497.00	0.076523	0.072113	0.049026	0.121445	0.098343
498.00	0.078781	0.074280	0.048935	0.123444	0.098206
499.00	0.081131	0.076431	0.048920	0.125565	0.098114
500.00	0.083542	0.078537	0.048920	0.127716	0.098068
501.00	0.085892	0.080750	0.048859	0.129868	0.097946
502.00	0.088318	0.083023	0.048874	0.132111	0.097931
503.00	0.090866	0.085388	0.048935	0.134445	0.097916
504.00	0.093430	0.087692	0.048859	0.136765	0.097824
505.00	0.095993	0.090057	0.048828	0.139191	0.097794
506.00	0.098663	0.092484	0.048828	0.141556	0.097763
507.00	0.101196	0.094849	0.048706	0.143829	0.097641
508.00	0.103973	0.097397	0.048752	0.146332	0.097656
509.00	0.106583	0.099762	0.048721	0.148773	0.097565
510.00	0.109344	0.102371	0.048721	0.151306	0.097580
511.00	0.112106	0.104919	0.048569	0.153900	0.097412
512.00	0.115143	0.107697	0.048645	0.156662	0.097458
513.00	0.118134	0.110413	0.048706	0.159409	0.097473
514.00	0.121140	0.113159	0.048752	0.162109	0.097519
515.00	0.124130	0.115997	0.048676	0.164871	0.097397
516.00	0.127136	0.118759	0.048584	0.167587	0.097275
517.00	0.130310	0.121704	0.048569	0.170547	0.097244
518.00	0.133408	0.124588	0.048569	0.173370	0.097244
519.00	0.136581	0.127533	0.048523	0.176346	0.097153
520.00	0.139816	0.130463	0.048569	0.179321	0.097137
521.00	0.143005	0.133362	0.048477	0.182205	0.097107
522.00	0.146149	0.136200	0.048386	0.185028	0.097000
523.00	0.149582	0.139343	0.048401	0.188171	0.097031
524.00	0.153046	0.142563	0.048492	0.191330	0.097122
525.00	0.156311	0.145615	0.048401	0.194351	0.097031
526.00	0.159775	0.148819	0.048386	0.197571	0.097031
527.00	0.163132	0.151917	0.048325	0.200653	0.096970
528.00	0.166550	0.155090	0.048355	0.203796	0.096954
529.00	0.170044	0.158234	0.048309	0.206985	0.096893
530.00	0.173401	0.161301	0.048279	0.210068	0.096924
531.00	0.176895	0.164520	0.048264	0.213287	0.096893
532.00	0.180206	0.167526	0.048248	0.216278	0.096832
533.00	0.183701	0.170746	0.048248	0.219528	0.096878
534.00	0.187088	0.173889	0.048203	0.222580	0.096817
535.00	0.190521	0.177155	0.048203	0.225769	0.096848
536.00	0.193787	0.180176	0.048050	0.228806	0.096649
537.00	0.197311	0.183380	0.048035	0.232040	0.096497
538.00	0.200943	0.186630	0.048035	0.235336	0.096512
539.00	0.204453	0.189789	0.048080	0.238617	0.096558
540.00	0.208023	0.193130	0.048080	0.241943	0.096619
541.00	0.211624	0.196396	0.048096	0.245255	0.096619
542.00	0.215149	0.199661	0.048050	0.248459	0.096603
543.00	0.218597	0.202881	0.047974	0.251556	0.096527
544.00	0.222137	0.206146	0.047974	0.254807	0.096481
545.00	0.225586	0.209274	0.047989	0.258011	0.096619
546.00	0.229172	0.212601	0.048111	0.261337	0.096695
547.00	0.232559	0.215744	0.048019	0.264496	0.096664
548.00	0.235992	0.218918	0.048019	0.267654	0.096664
549.00	0.239319	0.222000	0.047943	0.270737	0.096664
550.00	0.242584	0.225082	0.047974	0.273788	0.096664
551.00	0.245911	0.228226	0.047913	0.276810	0.096634
552.00	0.249054	0.231155	0.047913	0.279755	0.096649
553.00	0.252380	0.234146	0.047958	0.282776	0.096695
554.00	0.255447	0.237015	0.047913	0.285660	0.096649
555.00	0.258621	0.239853	0.047897	0.288605	0.096619
556.00	0.261673	0.242599	0.047867	0.291382	0.096695
557.00	0.264633	0.245346	0.047852	0.294098	0.096695
558.00	0.267548	0.248108	0.047867	0.296768	0.096710
559.00	0.270401	0.250748	0.047775	0.299438	0.096664
560.00	0.273193	0.253387	0.047821	0.302048	0.096710
561.00	0.276016	0.256042	0.047852	0.304642	0.096741
562.00	0.278687	0.258514	0.047836	0.307205	0.096786
563.00	0.281433	0.261002	0.047791	0.309631	0.096786
564.00	0.283813	0.263214	0.047745	0.311905	0.096741
565.00	0.286438	0.265640	0.047760	0.314285	0.096756
566.00	0.288940	0.267929	0.047760	0.316574	0.096802
567.00	0.291412	0.270203	0.047852	0.318848	0.096924
568.00	0.293716	0.272308	0.047852	0.320938	0.096939
569.00	0.295868	0.274292	0.047775	0.322937	0.096954
570.00	0.297989	0.276215	0.047729	0.324875	0.096924
571.00	0.300034	0.278046	0.047836	0.326736	0.097000
572.00	0.301956	0.279800	0.047729	0.328445	0.096924
573.00	0.303818	0.281494	0.047699	0.330124	0.096893
574.00	0.305649	0.283157	0.047653	0.331818	0.096878
575.00	0.307449	0.284805	0.047729	0.333405	0.096970
576.00	0.309097	0.286270	0.047714	0.334885	0.096939
577.00	0.310623	0.287720	0.047745	0.336319	0.097000
578.00	0.312088	0.288971	0.047729	0.337540	0.096985
579.00	0.313461	0.290115	0.047668	0.338745	0.096939
580.00	0.314850	0.291306	0.047729	0.339981	0.097046
581.00	0.316040	0.292313	0.047684	0.341034	0.097000
582.00	0.317184	0.293350	0.047699	0.342026	0.096985
583.00	0.318298	0.294235	0.047623	0.342941	0.097000
584.00	0.319321	0.295120	0.047699	0.343842	0.097015
585.00	0.320297	0.295959	0.047760	0.344696	0.097031
586.00	0.321243	0.296738	0.047714	0.345444	0.097031
587.00	0.322128	0.297440	0.047760	0.346176	0.097076
588.00	0.322906	0.298080	0.047775	0.346802	0.097076
589.00	0.323563	0.298553	0.047775	0.347321	0.097107
590.00	0.324188	0.299011	0.047806	0.347763	0.097122
591.00	0.324707	0.299438	0.047836	0.348190	0.097092
592.00	0.325165	0.299713	0.047867	0.348480	0.097092
593.00	0.325455	0.299896	0.047760	0.348648	0.097092
594.00	0.325745	0.300049	0.047836	0.348846	0.097092
595.00	0.325943	0.300110	0.047882	0.348923	0.097076
596.00	0.325974	0.300049	0.047867	0.348907	0.097076
597.00	0.325836	0.299835	0.047897	0.348740	0.097015
598.00	0.325714	0.299652	0.047974	0.348526	0.097031
599.00	0.325470	0.299286	0.048019	0.348236	0.097046
600.00	0.324997	0.298752	0.047989	0.347748	0.097000
